,Date,NCR_num,Job_Number,Part_Number,Rev,Qty,Defect,Defect_Type,Category
29,5/26/2021,5520.0,469972,0022-70689,2,6.0,Parst do not meet cosmetic call out per print note 5 ,Cosmetic,Cosmetic
30,5/27/2021,5521.0,467918,0042-35578,2,2.0,Part was quoted with inserts  . Supplier suppossed to provide them on part complete,Cosmetic,Cosmetic
31,5/27/2021,5522.0,ASM463785,0041-55016,5,94.0,TRUE POSITION OF INSERT .1 IS .558,Dimensional,GD&T
32,5/27/2021,5523.0,ASM462484,0022-04958,3,5.0,M3 Thread gage won't go.,Workmanship,Threads
0,6/1/2021,5524.0,466514,15-431468-00,E,6.0,"3pcs to cleaning 
6pcs rejected due to nicks, scrataches and specks",Cosmetic,Cleaning
1,6/2/2021,5525.0,460211,0022-27050,4,1.0,"parts rejected due to missing feature 
1pcs is missing allen head see sheet 1 zone ",Dimensional,Cosmetic
2,6/2/2021,5526.0,466889,0015-10703,03,5.0,"Recieved wrong part 
should be 0015-10703 but physically received 0015-10779
",Workmanship,Cosmetic
3,6/3/2021,5527.0,asm463065,0021-61063,02,1.0,DAMAGED IN THE SIDE CORNER (Accidently dropped during inspection. ,Workmanship,Cosmetic
4,6/3/2021,5528.0,RPM469539,839-A32354-002,B,3.0,COUNTER SINK Ø.420±.010 IS .390,Dimensional,Cosmetic
5,6/3/2021,5529.0,CP467059,0041-83493,07,1.0,Qty 1 blank found to have material defects per 0250-63743,Workmanship,Material
6,6/4/2021,5530.0,P469288,0022-70736,1,3.0,"PARTS MISSING ENGRAVED S/N PER NOTE 7
-16 FINISH ON HOLES IS OUT OF SPECS (tool marks through entire length of cylinder) SEE PRINT ZONE D3, D4, A2 &  B7, 
- PARTS HAVE BURRS ON THIS MENTIONED HOLE ALL THE WAY TO THE END WHEN TOOL BREAKS THRU
- MISSING 2X SPHERICAL DIA.  .255 Zone A-3 AT INTERSECTION
-MISSING SPHERICAL DIA.  .170 zone D-4 AT INTERSECTION",Workmanship,surface finish
7,6/8/2021,5531.0,468876,713-035108-005,B,100.0,THE TAP 4-40 UNC 2B NO GO THRU LOCATION D,Workmanship,Cosmetic
8,6/9/2021,5532.0,SCI467124,0041-77445,6,1.0,UNACCEPTABLE WELD IN CORNER CAUSING A STEP,Cosmetic,Cosmetic
9,6/9/2021,5533.0,SCI465272,0041-77573,4,1.0,FOREIGN OBJECT UNDER PAINT,Cosmetic,Paint
10,6/10/2021,5534.0,RW469666,0021-53996,02,11.0,SHEET 1 0F 1 SHOULD BE: DIA 47.01 -.000/+ 0.04 @ 46.983 - 47.007,Dimensional,Cosmetic
11,6/10/2021,5535.0,466439/ RW471711,0041-90121,02,1.0,BLOCK WELD THE WRONG WAY,Workmanship,Cosmetic
12,6/10/2021,5536.0,MT-ASM468620,0022-81433,01,20.0,MISSING EGRAVING,Workmanship,Cosmetic
13,6/10/2021,5537.0,MT-ASM465420,0022-81433,01,10.0,MISSING ENGRAVING,Workmanship,Cosmetic
14,6/10/2021,5538.0,MT-ASM465672,0022-81433,01,20.0,MISSING ENGRAVING,Workmanship,Cosmetic
15,6/11/2021,5539.0,MT-468383,570049801,A,5.0,Parts rejected due to chemical stains after anodizing. ,Workmanship,Cosmetic
16,6/15/2021,5542.0,ASM463666,0041-59727,03,50.0,"PARTS REJECTED DUE TO NOT MEETING PRINT 
PLEASE SEE SHEET 1 ZONE C7, SHOULD BE 0.50±0.05 ACTUAL IS BETWEEN 0.42 AND 0.43",Dimensional,Cosmetic
17,6/15/2021,5543.0,CP467059,0041-83493,07,4.0,"PARTS REJECTED FOR COSMETIC ISSUES S/N 0001,0003,0007 AND 0008 HAVE SPECKS, CRAZING, AND HAZE WITHIN THE MATERIAL
PLEASE SEE PICTURES ON FILE ",Cosmetic,Material
18,6/16/2021,5544.0,468553,0020-28240,1,10.0,6-32 THREAD DOES NOT GO THRU,Workmanship,Threads
19,6/17/2021,5545.0,CP466026,0041-93533,07,1.0,"Incomplete machining. 
Step on top surface. See photos on file for details. S/N 0004",Workmanship,surface finish
20,6/18/2021,5546.0,469003, 713-320957-001(item 2),A,71.0,"PARTS REJECTED DUE TO WRONG COLOR OF MATERIAL PER PRINT ITEM 2 IS GREY, ACTUAL PARTS ARE ORANGE ",Workmanship,Color
21,6/18/2021,5547.0,CP467060,0041-87805,07,1.0,"SHEET 2 OF 7, ZONE C-2 SPEC. .200 -/+ .005 ACTUAL: .339-.343 (DEPTH)
",Dimensional,Cosmetic
22,6/18/2021,5548.0,CP470644,0041-83493,07,1.0,"SHEET 2 OF 7, ZONE C-2 SPEC. .200 -/+ .005 ACTUAL: .339-.343 (DEPTH)",Dimensional,Cosmetic
23,6/18/2021,5549.0,CP467059,0041-83493,07,9.0,"SHEET 2 OF 7, ZONE C-2 SPEC. .200 -/+ .005 ACTUAL: .339-.343 (DEPTH)
DIMENSIONAL S/N: 301514-2221-0003, 0004, 0005, 0006, 0007, 0008
0009, 0011, 0012",Dimensional,dimension
24,6/21/2021,5550.0,P470019,0022-87610,01,5.0,"Sht 1, dr loc C1 s/b 16XR0118 =-.005 actual is 16XR.188-.196.",Dimensional,Cosmetic
25,6/21/2021,5551.0,470093,2149-2004,02,24.0,true position out of tolerances,Dimensional,GD&T
26,6/24/2021,5552.0,ASM464944,0042-11896,03,10.0,iTEM 2 NOT INSTALLED.,Workmanship,Cosmetic
27,6/24/2021,5553.0,P470909,0022-89220,02,8.0,"PARTS REJECTED DUE TO NOT MEETING PRINT.
SUPPLIER HAS PROVIDED PARTS WITHOUT STRIP FORMING PROCESS, PART IS OVER SIZE. Causing dimensins to be O.O.T after strip forming. PLEASE SEE SHEET 1 ZONE B5 AND B4; 1.00±.02 ACTUAL IS 1.245 AND 4.25±.02 ACTUAL IS 4.492. ZONE D4 SHOULD BE 1.82±.02 ACTUAL IS 1.846 AND SHEET 1 ZONE A5 SHOULD BE 6.20+.04/-.00 ACTUAL IS 6.706 ",Dimensional,Cosmetic
28,6/24/2021,5554.0,470095,2129-6905,4,31.0,DIMENDION OUT OF TOLERANCE,Dimensional,GD&T
31,6/25/2021,5557.0,ASM467578,0090-07776,02,4.0,"2ea do not power on
2 ea are clocked wrong",Workmanship,Cosmetic
32,6/29/2021,5558.0,SCI468352,0022-20200,05,12.0,"THICKNES PER PRINT SHOULD BE  1.700 +0/-.005 ACTUAL DIM IN 12 PCS IS 1.690 TO 1.694   
ONE SIDE STILL NEED TO BE SANDED TO MEET SURFACE FINISH BUT THERE IS NO MATERIAL LEFT TO FIX IT.",Dimensional,surface finish
33,6/29/2021,5559.0,asm464616,0041-61630,03,20.0,OPER XOPERATOR ERROR-OTHER,Workmanship,Cosmetic
34,6/29/2021,5560.0,457788,0042-02401,02,4.0,"   PARTS REJECTED DUE TO NOT MADE PER PRINT 
 The MTL per print, item 1 should be WHITE DELRIN but quoted with ACETAL COPOLYMER  instead of Homopolymer.",Workmanship,Material
35,6/30/2021,5561.0,rpm470856,713-347702-013,B,1.0,"
1 part rejected  used the set up part.",Workmanship,Cosmetic
36,6/30/2021,5562.0,P466495,0022-54075,02,40.0,PER SPS SOLUTION DIMENSION 1.93 ±.03 IS 2.00,Dimensional,dimension
37,6/30/2021,5563.0,p470817,0022-76769,01,25.0,"Sht 1, dr loc B3 s/b  Ø.139+.000-.005 actual is Ø.128.",Dimensional,Cosmetic
38,6/30/2021,5564.0,469243,0022-55291,03,6.0,DIMENSION OF C.S PER PRINT SHOULD BE  13.95 +.07/-.03  ACTUAL DIM IN ALL PARTS  ARE 14.2 TO 14.3,Dimensional,dimension
39,6/30/2021,5565.0,467880,CSN-0149-01,D,3.0,true position out of toleranc,Dimensional,GD&T
40,6/30/2021,5566.0,469544,0042-28969,03,3.0,"parts rejected due to not meeting print 
please see sheet 1 zone B6 and C5 radius and diameter are undersize  aslo zone c6 is not drilled th",Dimensional,Cosmetic
41,6/30/2021,5567.0,mt-468383,570049801,A,10.0,"Anodizing thickness
Nominal 3microns +- 1.5 (1.5 - 4.5microns); 
Actual 2.03 - 9.43microns",Dimensional,GD&T
0,7/6/2021,5568.0,sci466833,0041-85132,6,5.0,Window area has nicks scratches and pits,Cosmetic,Scratches
1,7/6/2021,5569.0,CP471996,0041-94029,10,7.0,"THRU POS IN MOS OF HOLE  LOCATIONS ARE OFF 
DIM   .239 +.001/.00   ARE UNDERSIZE .238  DIM .276 +.00/-.002 UNDERSIZE ACTUAL .2735",Dimensional,dimension
2,7/6/2021,5570.0,MT-470011,0042-31724,02,1.0,DIMENSION OUT OF TOLERANCE,Dimensional,dimension
3,7/6/2021,5571.0,469249,713-102458-005,E,5.0,"Sht 1, dr loc B5 dims s/b Ø11.696+-.012 actual is Ø11.681, s/b Ø10.856+-.015 actual is 
Ø10.837-10.838, s/bØ11.656+-.012 actual is 11.604-11.6",Dimensional,Cosmetic
4,7/12/2021,5573.0,RPM468556,515-290952-001,B,2.0,"PART SCRATCHED AT PENTAGON CLEANING REWORK WAS DONE 2X IF DONE A 3RD PARTS WILL GET STRESS CRACKS THEREFORE PARTS CANT BE REWORKED 
PARTS TO BE SCRAP",Workmanship,cracked
5,7/12/2021,5574.0,MT-P471561,0022-83919,03,1.0,"SHEET  1 OF 1 ZONE: G-8 SPEC: 9.52 
ACTUAL : 9.16",Dimensional,Cosmetic
6,7/12/2021,5575.0,rw472663,0195-06854,3,1.0,"Motor has no motion during testing.
Model: R2AA06020FXP3XM
SERIAL #10191000241E
Lot:  20-47-49",Functional,Cosmetic
7,7/12/2021,5576.0,471433,0022-78129,02,15.0,"PARTS REJECTED DUE TO OD BEING OVERSIZE 
PLEASE SEE SHEET 1 ZONE D2 Ø5.570±.010 ACTUAL IS Ø5.830/Ø5.840",Dimensional,Cosmetic
8,7/13/2021,5577.0,470802,0042-01927,03,4.0,1.000 ±.005 IS .99,Dimensional,Cosmetic
9,7/13/2021,5578.0,as-mtp471764,570050369,A,21.0,"PARTS FAILING DIMENSIONAL INSP.
C SINKS PER PRINT SHOULD BE 6.0 +/-.1   NAGLE SHOULD BE 90*   ACTUAL DIM IN ALL  AF THEM IS 6.23 TO 6.25  ANGLE IS 87.5 ONLY
DIAM OF HOLE SHOULD BE 8.0 +.1/-0.0  ACTUAL DIM IN ALL 6 HOLES IS 8.105 TO 8.12",Dimensional,dimension
10,7/14/2021,5579.0,469174,"15-431469-00,",D,1.0,"DAMAGED PART WITH DEEP NICKS, NO POSSIBLE WAY TO REWORK PART TO BE SCRAP",Cosmetic,Cosmetic
11,7/14/2021,5580.0,469021,15-431469-00,D,2.0,"SCRATCHES/SPECKS AND DISCOLORATION 
PARTS ESD COATED NO SUCCESS REWORKING COTED PARTS 
2PCS TO BE SCRAP",Cosmetic,Color
12,7/14/2021,5581.0,465598,15-431463-00,E,2.0,"PART REJECTED FOR COSMETICS, PARTS TO BE SCRAP FOR DEEP SCRATCHES",Cosmetic,Scratches
13,7/16/2021,5582.0,469836,0022-85280,01,1.0,"Diameters undersize:
1. SHEET 1 OF 2 ZONE : C:6/7 **3X 14.980 +.00/-.02  Actual:  14.9596, 14.9569, 14.955
2. SHEET 1 OF 2 ZONE : C:6/7 **3X COAXIALITY  SPEC: .02 ACTUAL: .0206-.0224",Dimensional,Cosmetic
14,7/19/2021,5583.0,MT-P467271,0041-55017,05,1.0,"RELEASED TO STOCK
1 PART GOT DAMAGED DURING INSPECTION ( EDGARD) NEED TO ANODIZE CHIPPED  EDGES",Workmanship,Cosmetic
15,7/20/2021,5584.0,P471816,K17255594,4,25.0,See inspection reports: Q:\Inspection Reports\ASM_Nexx\K17255594 REV 4\P471816,Dimensional,Cosmetic
16,7/23/2021,5585.0,P472213,713-A15460-012,A,11.0,DEPTH 8.00 ±.25 IS 9.4,Dimensional,Cosmetic
17,7/23/2021,5586.0,SCI469331,0041-85630,03,2.0,"RELEASED TO CLEANING
2PCS FOUND WITH  CONTAMINATION (MATERIAL ATTACHED CANT BE REMOVED)",Cosmetic,Cleaning
18,7/23/2021,5587.0,469112,15-431472-00,E,1.0,"part was damaged, craked on the edge sheet 1 zone c7. see pictures on file",Cosmetic,Cosmetic
19,7/23/2021,5588.0,466577,15-431463-00,E,6.0,"PARTICLES IN THE COATING AND DEEP SCRATCHES 
PARTS TO BE SCRAP",Cosmetic,Scratches
20,7/26/2021,5589.0,469393,0042-24584,02,5.0,52.3 ±.5 IS 48.53,Dimensional,Cosmetic
21,7/26/2021,5590.0,cp469951,0021-04297,03,1.0,"S/N: 301514-2721-03165 SHEET 1 OF 2 ZONE: B-2 PART GOT DROPPED WHILE BEING INSPECTED, DAMAGING THE PART ON ONE OF THE CORNERS",Dimensional,Cosmetic
22,7/26/2021,5591.0,P467752,0815792-001,AA,1.0,"S/N: CHA-0001 SHEET 4 OF 4, ZONE B-2, WELD PER BEST PRACTICE.
NOTE 7:
A. HELIUM LEAK TEST UNDER VACUUM AT 10^-4 mbar L/S LIMIT
B. POSITIVE CDA PRESSURE @ 100 +/-5 PSI. ASSEMBLY SHALL HOLD PRESSURE FOR 2 HOURS
WITHOUT LOSING MORE THAN 5 PSI. LEAKS AT PLUGS AND WELDED FEATURES ARE NOT
ACCEPTABLE. 

ACTUAL : LEAKS",Functional,Leaking
23,7/27/2021,5592.0,MT-P467506,0042-36567,03,2.0,"Sh4, Section M-M -- qty 2 rejected
parts are Rev 02, should be Rev 03
(Laser engraved) part marking of ""ROBOT AUTOCALIBRATION FOUP"" missing. Supplier part marked per Rev 02",Workmanship,Cosmetic
24,7/28/2021,5593.0,469183,515-269973-400,C,25.0,PR-081226 WAS DENIED AND PARTS TO BE REJECTED FOR DISCOLORATION IN,Cosmetic,Color
25,7/28/2021,5594.0,465952,515-269973-400,C,14.0,"PARTS REJECTED DUE TO MTL DISCOLORATION, PR-081226 WAS REJECTED",Cosmetic,Color
26,7/28/2021,5596.0,MT-P471436,0021-53975,02,1.0,"Zone C3: 2x M2 x 0.4 thread depth should be .157"" ± .005"", measures undersized at .130"" and .147""",Dimensional,Threads
27,7/29/2021,5597.0,sci469313,0022-18897,03,41.0,Parts failing dimensions per print. …..,Dimensional,dimension
28,7/30/2021,5598.0,467146,212T0351-17,31,1.0,Ø.713 +.002/-000 IS .731,Dimensional,Cosmetic
29,7/30/2021,5599.0,468378,0041-93977,02,1.0,Flatness OOT. Actual is 3.4mm s/b  .06mm ,Dimensional,GD&T
30,7/30/2021,5600.0,MT-471563,0022-63395,1,4.0,"Ref Zone D4, note 7: Part marking orientation is flipped 180° (should follow orientation of logo per print); parts pass dimensionally",Workmanship,dimension
31,7/30/2021,5601.0,P470097,0051-44078,3,5.0,"PARTS REJECTED FOR BAD NPT THREAD
1/4 NPT GAGE GOES ALL THE WAY",Workmanship,Threads
0,8/2/2021,5602,470463,0042-35485,2,1.0,Scratches,Cosmetic,Scratches
1,8/3/2021,5603,P472490,713-256314-305,C,26.0,PARTS REJECTED DUE TO COSMETICS PARTS HAVE SCRATCHES ALL THRU THE PART,Cosmetic,Scratches
2,8/3/2021,5604,P472489,713-256314-007,B,26.0,PARTS REJECTED DUE TO COSMETICS PARTS HAVE SCRATCHES ALL THRU THE PART,Cosmetic,Scratches
3,8/3/2021,5605,P472488,713-256314-004,C,26.0,PARTS REJECTED DUE TO COSMETICS PARTS HAVE SCRATCHES ALL THRU THE Part,Cosmetic,Scratches
4,8/3/2021,5606,P472486,713-256314-006,B,26.0,"PARTS REJECTED FOR COSMETIC ISSUES. SCRATCHES ALL THRU THE PARTS,",Cosmetic,Scratches
5,8/3/2021,5607,RTM473425,0022-91515,01,1.0,"Part is cracked/torn in half at 2 places, pics stored in job folder. RTV
NonConf:5607 WORK WORKMANSHIP",Workmanship,cracked
6,8/6/2021,5608,it-e470619,CHP-INT-00090,01,12.0,SEVERAL DIMENSIONS ARE OUT OF TOLERANCE PART DOES NOT MEET PRINT  SPECS .,Dimensional,dimension
7,8/6/2021,5609,P469955,0022-82527,02,5.0,DIMENSION OUT OF TOLERANCE,Dimensional,dimension
8,8/9/2021,5610,CP472269,0041-79463,07,6.0,EA 08/06: qty 6 rejected due to defects within material. Reference 0250-63743 Rexolite Insulater Plate Inspect,Defective Mtrl(cosmetic),Material
9,8/9/2021,5611,RTM472618,0042-29227,01,2.0,"C.B IN ALL HOLES PER PRINT SHOULD BE .305 +.001/-.000
 ACTUAL DIM. IS .298 /.299",Dimensional,dimension
10,8/10/2021,5612,P472491,713-284202-001,B,26.0,PER MANUFACTURE RECOMENDATIONS Ø SIZE SHOULD BE .187+.003 /-.000 ACTUAL IS BETWEEN .240/.242,Dimensional,Cosmetic
11,8/10/2021,5613,P472487,713-284202-002,B,26.0,PARTS REJECTED DUE TO NOT FOLLOWING MANUFACTURER RECOMMENDATIONS CAUSING Ø TO BE OVER SIZE FOR HARDWARE INSTALLATION,Dimensional,Cosmetic
12,8/10/2021,5614,472648,0022-88436,01,22.0,DIMENSION OUT,Dimensional,dimension
13,8/10/2021,5615,P469014,839-A40615-001,B,6.0,"Reference Sh2, Section B-B. 2x ø1.112"" ± .002"" measures oversized (as high as 1.132""). Does not fit in mating assembly as is
Job also does not have inspection OP after welding",Dimensional,Assembly
14,8/12/2021,5616,P473541,0022-50283,03,3.0, parts rejected due to not meeting print missing chamfer per sheet 1 zone D,Dimensional,Cosmetic
15,8/13/2021,5617,RPM470994,713-002617-009,B,1.0,DING ON EDGE OF THE PART NEXT TO ENGRAVING,Cosmetic,Cosmetic
16,8/16/2021,5618,P470495,0022-81883,02,11.0,EDGE OF PLANE FOR  95 DEGREES DAMAGED WHEN POLISHING PARTS DEFORMED EDGE NOT POSSIBLE TO MEASURE THIS FEATUIRE,Workmanship,Cosmetic
17,8/17/2021,5620,P471910,K17270038,P01,1.0,DIMENSION OUT,Dimensional,dimension
18,8/17/2021,5621,p470493,"0022-81823,",01,40.0,THRU POS O. TOL IN BOTH THREADED HOLES  NEED TO ADJUST TO NOMINAL DISTANCE,Dimensional,Threads
19,8/17/2021,5622,P470491,"0022-81884, ",01,36.0,THRU POS OUT OF TOL. IN BOTH THREADED HOLES  NEED TO ADJUST TO NOMINAL DISTANCE,Dimensional,GD&T
20,8/17/2021,5623,asm465945,0010-84316,03,2.0,Leaks ,Workmanship,Leaking
21,8/17/2021,5624,SCI464770,0041-90121,02,36.0,"1) Inserts are not installed properly: either below or above surface of tanks.
2) There are something like rust (corrosion or oxidation) on inserts.",Workmanship,surface finish
22,8/19/2021,5625,P471912,K17270040,P01,1.0,Dimensional Issue,Dimensional,dimension
23,8/19/2021,5626,CP471589,0041-83493,07,1.0,EA 08/18: qty 1 (SN 2921-0004) rejected due to damage while installing 1x item 3. reference location Sh1 C6,Cosmetic,transit damaged
24,8/19/2021,5627,P473082,0042-46475,02,1.0,Broken side,Workmanship,transit damaged
25,8/20/2021,5628,CP471589,0041-83493,07,4.0,PARTS HAVE SPEC / FOREIGN OBJECT IN PLASTIC,Cosmetic,Cosmetic
26,8/20/2021,5629,469658,715-212651-001,C,12.0,Dim  3.260 +.003/-.000   is under size  actual dim. in all parts ranges from 2.556 to 2.558,Dimensional,dimension
27,8/20/2021,5630,MT-473000,19-431355-00,A,11.0,"qty 11 pieces undersized in OAL: .750"" ± .005"" measures .718-.734""",Dimensional,Cosmetic
28,8/23/2021,5631,P471861,713-A15228-005,B,5.0,"DIM 1.065 +/-.005 OUT OF TOL.   ACTUAL RANGES FROM  1.071 TO 1.0725
DIM  1.496 +/- .005   ACTUAL   1.5025
FLATNESS  PER PRINT SHOULD BE .005  ACTUAL IS .006/.007",Dimensional,dimension
29,8/25/2021,5632,p472259,0042-41479,01,5.0,Item #2 - damage. Cosmetic unacceptable,Cosmetic,transit damaged
30,8/25/2021,5633,CP472876,0022-86022,02,2.0,PER PRINT DIAM SHOULD BE 2.658 +.004/-.000  ACTUAL DIM IN 2 PARTS IS 2.654,Dimensional,dimension
31,8/30/2021,5634,P472991,713-330513-021,E,2.0,WIDTH OF SLOT S/B .236±.010 IS .247 TO .248,Dimensional,Cosmetic
32,8/30/2021,5635,MT-ASM470992,0022-81433,01,40.0,EA 08/27: qty 40 pieces rejected; parts are not engraved per print (method 2 per note 10),Workmanship,Cosmetic
33,8/30/2021,5636,P472992,713-330513-022,G,2.0,Dimension Out,Dimensional,dimension
34,8/30/2021,5637,E473778,713-121109-202,A,5.0,If dimension is calling out 14.5 with ISO tolerance of ±0.2 then part can only be between 14.7 and 14.3. Actual parts are measuring between 16.95 and 17.00 ,Dimensional,dimension
35,8/30/2021,5638,473992,713-121109-202,A,5.0,If dimension is calling out 14.5 with ISO tolerance of ±0.2 then part can only be between 14.7 and 14.3. Actual parts are measuring between 16.95 and 17.01,Dimensional,dimension
36,8/30/2021,5639,474283,"0022-81883, ",02,12.0,R.10 MAX  OVER SIZE DUE TO  EDGE BEEN DEFORMED WHEN POLISHING,Workmanship,Cosmetic
37,8/30/2021,5640,469655,713-A09402-001,B,1.0,MISSING P/N ENGRAVING,Workmanship,Cosmetic
38,8/30/2021,5641,CP471700,0042-35193,03,2.0,"PER PRINT THRU POS .25 OF 12.7 HOLES OUT OF TOL.   ACTUAL READINGS ARE .35 AND .37
DEPTH OF 6.0 HOLE SHOULD BE 55 +.5/-0   ACTUAL IS 54.7",Dimensional,GD&T
39,8/31/2021,5642,470840,0042-28853,01,1.0,THRU POS ON SEVERAL  HOLES ARE OUT OF TOLERANCE,Dimensional,GD&T
40,8/31/2021,5643,P460888,0020-54198,03,3.0,DIMENSION OUT OF TOLERANCE,Dimensional,dimension
41,8/31/2021,5644,p474297,0200-29468,01,1.0,Flatness .002 is .005 and nick on the flatnees side,Dimensional,Cosmetic
42,8/31/2021,5645,472258,0042-39441,01,3.0,"PARTS FAILING   THRU POS. 
SPECS ARE THRU POS. .13 FOR 12.0 +.12/-0 HOLES 
THRU POS .13 FOR  4.5+.18/-0  HOLES   ACTUAL READINGS RANGE FROM .1",Dimensional,Cosmetic
43,8/31/2021,5646,474666,713-264541-401,E,8.0,EA 08/31: qty 8 rejected due to material discoloration (inventory purge; reference NCR5594),DMAT XDEFECTIVE MATERIAL(cosmetic),Color
44,8/31/2021,5647,474665,713-264541-400,D,14.0,EA 08/31: qty 14 rejected due to material discoloration (reference NCR5593),DMAT XDEFECTIVE MATERIAL(cosmetic),Color
45,9/1/2021,5648,SCI469220,0041-77449,07,3.0,Broken. Not reworkable. ,Damage(functional),transit damaged
46,9/2/2021,5649,473407,0022-76049,02,3.0,7.50±.25 actual is 7.08-7.13,Dimensional,Cosmetic
47,9/7/2021,5650,RMA12067,0042-25537,01,2.0,"Customer Return; 
Shafts/Pins installed on parts are OOT and have issues with mating parts at the customer end. This was confimed at CHawk.",Functional ,GD&T
48,9/9/2021,5651,ASM464632,0022-03764,09,1.0,Reference Sh1 Detail E and Sh2 Section J-J: qty 1 found machined incomplete. missing features,Functional ,Cosmetic
49,9/9/2021,5652,ASM463404,0190-53195,03,2.0,EA 09/08: sensor gets stuck when threaded onto mating part; sensor is damaged when remove,Equipment Malfunction(functional),Threads
50,9/10/2021,5653,cp473795,0042-34520,07,8.0,"Sht 1, dr loc E7 s/b Ø4.80+-0.25 actual is Ø5.18-5.2",Dimensional,Cosmetic
51,9/11/2021,5654,RTM474908,0022-94423,01,30.0,"EA 09/09: qty 30 rejected
Reference Section A-A view -- both sides of .250 +.000 / -.003 dimension have stepped surfaces (radius not blending into part?).  Measurement ranges from .240 to .253 due to step.
Vendor is Condor Mfg",Dimensional,dimension
52,9/14/2021,5655,471585,0022-82527,02,4.0,"Sht 1, dr loc D2 s/b Ø13.040+.005-.000 actual is Ø13.036-13.037.",Dimensional,Cosmetic
53,9/14/2021,5656,473584,713-256314-004,C,26.0,".870 is .500”
see sheet 1 zone C7 should be .87 ±.03 actula is .500 parts to be RTV per Chins Email",Dimensional,Cosmetic
54,9/16/2021,5657,472191,CSN-0148-01,G,1.0,true position out of tolerance s/b .5 is .776,Dimensional,GD&T
55,9/17/2021,5658,e468470,CHP-AMT-00046-1,01,1.0,"Sht2, dr loc F7 s/b R21.797 is R21.805-21.816, dr loc F8 s/b R21.697 is R21.710-21.717, dr loc F8 s/b R20.777 is R20.763-20.785, dr loc F8 s/b R20.877 is R20.883-20.885.",Dimensional,Cosmetic
56,9/17/2021,5659,MT-P472832,0022-82547,02,2.0,"EA 09/16: qty 2 ok to release, qty 2 rejected for dimensional discrepancies.
B2: .290 +.000 / -.005 measures .280 (1pc at one end, 1pc at center of part)
B2: 2x .150 +.000 / -.005 measures .136 (1pc at one end)",Dimensional,dimension
57,9/17/2021,5660,ASM466097,0022-62686,02,10.0,"M3 threads in top and bottom rows (near bends) are tight, some do not accept thread gage or will cause screw to bind when installing matin",Workmanship,Threads
58,9/17/2021,5661,ASM466098,0022-62686,02,100.0,"M3 threads in top and bottom rows (near bends) are tight, some do not accept thread gage or will cause screw to bind when installing matin",Workmanship,Threads
59,9/17/2021,5662,ASM468323,0022-62679 ,04,50.0,"Parts are laser engraved instead of ink stamp per note 9
Some parts found bent, collapsing inward (see D6 on print, where 56.9 dimension is)",Workmanship,dimension
60,9/20/2021,5664,SCI470290,0022-16225,03,3.0,478 PCS RECEIVED IN 53 BOXES ON 2 PALLETS. 3PCS HAD A REALLY BAD FINISH AND DIDNT PASS THE COSMETIC SPEC.,Workmanship,surface finish
61,9/20/2021,5665,MT-P472990,CHM-AMT-00032,02,15.0,Parts are not silver plated per print/PO,Workmanship,Silk Screen
62,9/21/2021,5666,sci461151,0010-68318,04,2.0,"
two assemblies (sn 1083 and 1093 ) received from Collimated with loose or broken item 3,4 or 5
This affects functionality, no light goes thru optical comm. 
",Functional ,transit damaged
63,9/21/2021,5667,MT-464906,0042-35975,06,1.0,EA 09/20: part is missing part marking per print (engraving per Note 13),Workmanship,Cosmetic
64,9/21/2021,5668,p474583,0042-35578,03,2.0,parts rejected due to missing 4x hardware per note4 item 2 M,Workmanship,Cosmetic
65,9/21/2021,5669,CP475419,0022-70736,02,2.0,"Sht 1, dr loc B4 s/b Ø.250+-.005 actual is Ø.264-.265,  dr loc C4 s/b tr. position .008 actual is .0176.  Serial # - mi",Dimensional,GD&T
66,9/22/2021,5671,MT-473549,0042-31724,2,1.0,"EA 09/22: qty 1 rejected
C7: 5.496"" ± .005"" measures 5.504"" (one side only)
C6: 2x 2.014"" ± .005"" measures 1.986"" and 2.042""
C6: 2x .875"" ± .005"" measures .908"" and .840""",Dimensional,Cosmetic
67,9/27/2021,5672,470599,713-A02304-008,B,1.0,Dimesional issue,Dimensional,Cosmetic
68,9/27/2021,5673,P474733,0022-49075,02,6.0,"DIM  58.00 +.10/ -.00  ACTUAL  IN ALL PARTS IS 57.88 TO 57.94
GROOVE WIDTH PER PRINT SHOULD BE 1.45+/-.05 (THEORETICAL SHARP CORNER)
ACTUAL DIM IS 1.65 TO 1.",Dimensional,dimension
69,9/27/2021,5674,P467752,0815792-001,AA,1.0,"EA 09/24: qty 1 found leaking at 3 locations during helium test
Reference Sh2, C4 view: leaking is found at plugs located at (33.00, 6.00) and (143.00, 20.50)
Reference Sh2, B3 view: leaking found at plug located at (25.00, 8.50)",Workmanship,Leaking
70,9/28/2021,5675,IT-E473810,CHP-INT-00060,05,8.0,"Dim 6.10 +/-.05    actual dim is 6.18 to 6.22
R.250  +/-.05 actual dim . is 2.60 to 2.68
dim 11.00 +/-.05   actualdim is 11.06 to 11.08",Dimensional,dimension
71,9/29/2021,5676,IT-E473811,CHP-INT-00069,04,8.0," PART FAILING DIMENSIONAL INSP.
SEVERAL DIMENSIONS ARE OUT OF TOL. 
PART NOT MADE PER PRINT",Dimensional,dimension
72,9/30/2021,5677,IT-E474111,CHP-INT-00068,04,8.0,PARTS  DO NOT MEET PRINT SPECS IN SEVERAL DIMENSIONS,Dimensional,dimension
