Issued Date,NCR #,Job Number,Part Number,Rev,NCR Qty,Description of Defect,Defect Type,Suspected Dept/Vendor at Fault,Disposition,Action Owner,"Disposition
 Date",Completion Date,Days to complete," Cost 
(if any) ",Comments,Status ,,,,,,,,,,,,,,,,,,,,,,, 
9/17/2021,5662,ASM468323,0022-62679 ,04,50,"Parts are laser engraved instead of ink stamp per note 9
Some parts found bent, collapsing inward (see D6 on print, where 56.9 dimension is)",Workmanship,CENTRAL TECH INCORPORATION VIETNAM COMPANY LIMITED,RTV,Marco,9/17/2021,11/2/2021,46,$0 ,"9/17/21 - Marco notified supplier regarding this issue. 
10/7/21 - A follow up email was sent to Marco to request an update from the supplier. 
10/18/21 - A follow up email was sent to Marco and prodcution team regarding this issue. 
11/2/21- Reworked and passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/20/2021,5664,SCI470290,0022-16225,03,3,478 PCS RECEIVED IN 53 BOXES ON 2 PALLETS. 3PCS HAD A REALLY BAD FINISH AND DIDNT PASS THE COSMETIC SPEC.,Workmanship,"TRIPP ENTERPRISES,INC.",Rework In-house,Marco/Marcelino,9/20/2021,10/11/2021,21,$0 ,"9/20/21 - An email was sent to Marco to notify the supplier. 
9/22/21- Parts will be reworked inhouse. Rework instruction: Sand, Vapor polish and inspection is added to this job. 
10/05/21- Reworked
10/8/21- Parts were released to Anthony for cleaning. 
10/11/21- Reworked and passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/20/2021,5665,MT-P472990,CHM-AMT-00032,02,15,Parts are not silver plated per print/PO,Workmanship,D-TEK,RTV,Marco,9/20/2021,,-44459,,"9/20/21 - An email was sent to Marco to notify the supplier. 
9/30/21- Supplier commit date 10/11
10/18/21- A follow up email was sent to supplier regarding this issue. 
10/28/21- A follow up email was sent to the supplier. 
10/22/21- Replacement parts received and pending inspection. 
11/1/21-Replacement parts received did not pass inspection. 2825",Open,,,,,,,,,,,,,,,,,,,,,,,
9/21/2021,5666,sci461151,0010-68318,04,2,"
two assemblies (sn 1083 and 1093 ) received from Collimated with loose or broken item 3,4 or 5
This affects functionality, no light goes thru optical comm. 
",Functional ,Collimated,RTV,Marco,9/21/2021,10/27/2021,36,$0 ,"9/21/21 - An email was sent to Marco to notify the supplier. 
10/1/21 - An email was sent to Marco to follow up with the supplier. 
10/7/21 - Simon was instructed to ship/deliver this NCR back to the supplier for us to receive the replacement parts.  
10/12/21 - rejected parts were shipped back to supplier. 
10/27/21-Replacements have been inspected and passed through inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/21/2021,5667,MT-464906,0042-35975,06,1,EA 09/20: part is missing part marking per print (engraving per Note 13),Workmanship,Programming,Rework,Vinod,9/21/2021,,-44460,,"9/21/21 - An email was sent to Marco to notify the supplier. 
9/28/21 - This is internal error not subco. Part will be reworked inhouse. 
10/05/21- Part is released to Erik for rework. 
10/7/21 - Pending rework.
10/18/21 - A follow up email was sent to Vinod regarding the status of this rework. 
11/1/21- Per Vinod this NCR requires a waiver from the customer. ",Open,,,,,,,,,,,,,,,,,,,,,,,
9/21/2021,5668,p474583,0042-35578,03,2,parts rejected due to missing 4x hardware per note4 item 2 M,Workmanship,Nominal Machining LLC,RTV,Marco,9/22/2021,9/28/2021,7,$0 ,"9/21/21 - This job will be reworked in-house.PC to add Hardware and Installation operations to this job per Note 4.  
9/28/21 - Parts were successfully reworked inhouse and passed inspection.",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/21/2021,5669,CP475419,0022-70736,02,2,"Sht 1, dr loc B4 s/b Ø.250+-.005 actual is Ø.264-.265,  dr loc C4 s/b tr. position .008 actual is .0176.  Serial # - mi",Dimensional,LATHE,Scrap,Lalo,9/22/2021,9/23/2021,2,"$3,530 ","9/22/21- Parts have been released to Erik for further evaluation. 
9/23/21- Parts are not reworkable. PC issued a new order. DMR  2800",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/22/2021,5671,MT-473549,0042-31724,2,1,"EA 09/22: qty 1 rejected
C7: 5.496"" ± .005"" measures 5.504"" (one side only)
C6: 2x 2.014"" ± .005"" measures 1.986"" and 2.042""
C6: 2x .875"" ± .005"" measures .908"" and .840""",Dimensional,Eclipse Metal Fabrication,RTV,Marco,9/23/2021,10/18/2021,26,$0 ,"9/23/21 - An email was sent to Marco to notify the supplier. 
10/01/21 - Supplier picked up the rejected parts. 
10/05/21 - Supplier are still working on  this replacement, they will deliver this week soon as they completed the process.
10/12/21 - Part received and currently pending inspection. 
10/18/21- Re-inspected and passed inspection. 
",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/27/2021,5672,470599,713-A02304-008,B,1,Dimesional issue,Dimensional,CNC,Rework,Erik L. ,9/37/21,10/1/2021,4,$0 ,"9/27/21- Edgard will try to locate the part.
9/30/21- Part was released to Alan (CNC) and processed withouth going thru MRB for disposition. Part was fulled from stock to ensure that the issue was fixed. 
10/01/21-  Dimension was validated and re-measured ok",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/27/2021,5673,P474733,0022-49075,02,6,"DIM  58.00 +.10/ -.00  ACTUAL  IN ALL PARTS IS 57.88 TO 57.94
GROOVE WIDTH PER PRINT SHOULD BE 1.45+/-.05 (THEORETICAL SHARP CORNER)
ACTUAL DIM IS 1.65 TO 1.",Dimensional,Lathe,Scrap,Lalo,9/27/2021,9/27/2021,0,$954 ,"9/27/21 - Per Lalo parts are not reworkable. DMR 2802
Note: Job# P474733 closed, open replacement job 470903.",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/27/2021,5674,P467752,0815792-001,AA,1,"EA 09/24: qty 1 found leaking at 3 locations during helium test
Reference Sh2, C4 view: leaking is found at plugs located at (33.00, 6.00) and (143.00, 20.50)
Reference Sh2, B3 view: leaking found at plug located at (25.00, 8.50)",Workmanship,MARX DIGITAL MANUFACTURING,RTV,Marco,9/27/2021,,-44466,,"9/27/21 - An email was sent to Marco to notify the supplier. 
9/29/21- Rejected parts were picked up by the supplier.  
10/12/21 - Purchasing to follow up witht the supplier. 
10/18/21 - Follow up email was sent to Marco . 
10/28/21- An email was sent to Marco to follow up. ",Open,,,,,,,,,,,,,,,,,,,,,,,
9/28/2021,5675,IT-E473810,CHP-INT-00060,05,8,"Dim 6.10 +/-.05    actual dim is 6.18 to 6.22
R.250  +/-.05 actual dim . is 2.60 to 2.68
dim 11.00 +/-.05   actualdim is 11.06 to 11.08",Dimensional,CNC,Scrap,Erik L,9/28/2021,9/29/2021,1,$0 ,"9/28/21 - Parts were released to Erik for further evaluation.
9/29/21- Parts are not reworkable per Erik L. DMR 2804",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/29/2021,5676,IT-E473811,CHP-INT-00069,04,8," PART FAILING DIMENSIONAL INSP.
SEVERAL DIMENSIONS ARE OUT OF TOL. 
PART NOT MADE PER PRINT",Dimensional,CNC,Scrap,Erik L,9/29/2021,9/30/2021,1,$0 ,"9/29/21 - Parts were released to Erik for further evaluation.
9/30/21 - Parts are not reworkaable per Erik L. DMR 2806",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/30/2021,5677,IT-E474111,CHP-INT-00068,04,8,PARTS  DO NOT MEET PRINT SPECS IN SEVERAL DIMENSIONS,Dimensional,CNC,Scrap,Erik L,9/30/2021,10/5/2021,5,$0 ,"9/30/21- Parts were released to Erik L for further evaluation. 
10/05/21- Parts are not reworakble. DMR 2810",Closed,,,,,,,,,,,,,,,,,,,,,,,
9/30/2021,5678,rpm472535,524-A46774-021,B,8,3x120° is 115.58 -128.39 and Ø419 is 417.79,Dimensional,Fabrication,Rework,Marcelino/Edgard,9/30/2021,,-44469,,"9/30/21- Parts are currently being reviewed by Marcelino. 10/05/21- Reworked and pending inspection.
10/20/21- A follow up email was sent to Edgard regarding this issue. ",Open,,,,,,,,,,,,,,,,,,,,,,,
10/4/2021,5679,472244,853-A18805-001 ,AA,28,"EA 10/04: parts have cosmetic defects; dings/dents along bottom side of air cylinder (item 1, purchased item, was received damaged from Steven Engineering). remaining parts ok to release",Cosmetic,Steven Engineering,RTV,Wendy / Marco,10/4/2021,,-44473,,"10/04/21-Purchasing has been notified.  
10/12/21 - Pending action from supplier. 
10/21- an email was sent to Marco to follow up with supplier. 
10/28/21- Pending RMA from the supplier. ",Open,,,,,,,,,,,,,,,,,,,,,,,
10/5/2021,5680,MT-473465,0022-80171,1,2,"EA 10/05:
Section A-A view: 60° chamfer measures 45°",Dimensional,Metal CNC,Scrap,Vinod,10/5/2021,10/5/2021,0,$394.00 ,10/5/21- Parts are not reworkable. DMR 1907,Closed,,,,,,,,,,,,,,,,,,,,,,,
10/7/2021,5681,P474098,0042-28191,3,11,"Sheet 2 of 2 Zone C-2
Spec: .070 +/- .005
Actual: .060 - .064 on 11pcs",Dimensional,CNC,Scrap,Erik L. ,10/8/2021,10/12/2021,5,$0.00 ,"10/8/21 - Parts were released to Erik for rework. 
10/12/21 - Parts are not reworkable per Erik L. DMR 2814",Closed,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,5682,CP474049,0041-77746,4,4,BLACK COMTAMINATION IN MATERIAL,Cosmetic,Roechling,Scrap,Marco/Marcelino,10/12/2021,10/12/2021,0,"$1,760.00 ",10/12/21- Parts are not reworkable per Marcelino. DMR 2815,Closed,A copy of this NCR was provided to Estuardo for approval.,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,5683,rtm474966,0042-47089,1,1,"missing part mark, fab will attempt to part mark per note 8, if not successful an sps will need to be submi",Workmanship,"T&H Manufacturing, Inc",Rework In-house,Marco/Marcelino,10/12/2021,10/13/2021,1,$0.00 ,"10/12/21- Part will be reworked in-house per Karen. 
10/13/21- Part was successfully reworked and a stamp was made to fit ink-stamp on the part. Passed inspection.",Closed,,,,,,,,,,,,,,,,,,,,,,,
10/12/2021,5684,rtm475146,0022-93215,1,1,"missing part mark per note 7, fab to attempt to ink-stamp sps might be needed due to small area",Workmanship,"T&H Manufacturing, Inc",Rework In-house,Marco/Marcelino,10/12/2021,10/13/2021,1,$0.00 ,"10/12/21- Part will be reworked in-house per Karen. 
10/13/21- Part was successfully reworked and a stamp was made to fit ink-stamp on the part. Passed inspection.",Closed,,,,,,,,,,,,,,,,,,,,,,,
10/13/2021,5685,RW475995,0022-24182,4,138,"Material color is light compared to other Chawk supplier, failing sensor test at assembly. ",Material Issue(cosmetic),"Purchasing(DQ,CENTRAL TECH INCORPORATION VIETNAM COMPANY LIMITED)",RTV,Marco,10/14/2021,,-44482,$0.00 ,"10/13/21 - An email was sent to Marco to notify supplier. 
10/28/21- A Follow up email was sent to Marco to request a commit date from the supplier. 
10/28/21 - . Op 30 was removed. According to David Q. We are at fault for not specifying which shade of grey DQ needed to use. 
",Open,,,,,,,,,,,,,,,,,,,,,,,
10/14/2021,5686,ASM467735,"0051-27619, ",4,56,"EA 10/14: qty 56 rejected
Item 4 (FLOW FLOW N2) labels are green, should be white",Workmanship,"Crist Group, Inc",RTV,Marco,10/15/2021,10/21/2021,7,$0.00 ,"10/15/21 - An email was sent to Marco to notify supplier. Request replacement labels from Crist group, Sanjay and his team can rework (re-label).
These have been reworked by assembly and are ok to return to stock",Closed,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,5687,MT-RTM475255,0022-93694,2,4,PART MARK S/B ENGRAVED IS STA,Workmanship,"T&H Manufacturing, Inc",Rework In-house,Marco/Erik L.,10/15/2021,10/28/2021,13,$0.00 ,"10/15/21 - An email was sent to Marco to notify supplier. 
10/18/21 -parts have been laser engraved and  currently in QC for inspection. 
10/25/21- A follow up email was sent to Edgard to update the epicor. 
10/28/21- passed inspection.",Closed,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,5688,475273,713-256314-004 ,C,10,Missing part mark,Workmanship,Quotation,Rework,Marco/Erik L.,10/15/2021,,-44484,$0.00 ,"10/15/21 - An email was sent to Marco to notify supplier. 
10/18/21- Per supplier this job was not quoted for part marking.Rework in-house. 
10/28/21- Reworked and pending inspection. 
11/1/2021- Passed inspection.",Closed,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,5689,475274,713-256314-007,B,10,"Parts are rejected for cosmetics, scratches and missing part mark.",Cosmetic,CONDOR MANUFACTURING,RTV,Marco,10/15/2021,,-44484,$0.00 ,"10/15/21 - An email was sent to Marco to notify supplier. 
10/28/21 - Supplier refuse to acknowledge the fault. The response was forwarded to Gabby to advise on this issue. 
11/1/21- Replacement parts received from supplier andit is now pending for inspection. ",Open,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,5690,475275,713-256314-305,C,10,Missing part mark,Cosmetic,Quotation,Rework,Marco/Erik L.,10/15/2021,,-44484,$0.00 ,"10/15/21 - An email was sent to Marco to notify supplier. 
10/18/21- Per supplier this job was not quoted for part marking. Parts to be reworked 
10/28/21- Reworked and pending inspection. 
11/1/2021- Passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
10/15/2021,5691,MT-E474400,0022-92926,1,1,Missing engraving per method 2 or 16 per note 4 (machine or laser engrave),Workmanship,"T&H Manufacturing, Inc",Use as is,Marco,10/15/2021,10/18/2021,3,$0.00 ,"10/15/21 - Rework in-house for this one.Part was released to Fabrication to be reworked. PC to add part marking operation on job for laser engraving per note 4.
10/18/21-Justin just informed Erik A that these parts won’t ship to the customer and will be used in-house (for assembly tooling); part engraving is not absolutely necessary so we will UAI.",closed,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,5692,ASM466179,0041-25148,2,85,Ink stamping is rubbing off with finger (not permanently stamped per print/note),Workmanship,Azel MFG,RTV,Marco,10/18/2021,10/26/2021,8,$0.00 ,"10/18/21 - An email was sent to Marco to notify supplier. 
10/26/21 - Reworked parts have been corrected by supplier and released to stock.",closed,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,5693,ASM466180,0041-25148,2,15,Ink stamping is rubbing off with finger (not permanently stamped per print/note),Workmanship,Azel MFG,RTV,Marco,10/18/2021,10/26/2021,8,$0.00 ,"10/18/21 - An email was sent to Marco to notify supplier. 
10/26/21-Reworked parts have been corrected by supplier and released to stock.",closed,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,5694,ASM467659,0022-04958,3,11,"Two discrepancies
qty 3 - Section B-B view, E7: 1x M3x0.5 thread closest to bend does not accept screw
qty 8 - Section A-A and B-B views, E2 and E7: 2x M3x0.5 thread locations on discrepant parts (in X-direction) are flipped",Workmanship,Supplier (Hill Manufacturing),RTV,Marco,10/18/2021,,-44487,$0.00 ,10/18/21 - An email was sent to Marco to notify supplier. ,Open,,,,,,,,,,,,,,,,,,,,,,,
10/18/2021,5695,MT-473549,0042-31724,2,1,"B6/7: .253"" ± .001"" wide slot and Ø .253"" ± .001"" pinhole not masked per print (see note 7)",Dimensional,Scientific Metal Finishing,Rework In-house,Vladimir/Marcelino,10/18/2021,10/25/2021,7,$0.00 ,"10/18/21 - An email was sent to Marco to notify supplier. Part to be reworked inhouse.
10/25/21- The paint got removed and is now complaint. NCR closed",Closed,,,,,,,,,,,,,,,,,,,,,,,
10/19/2021,5696,MT-P471436,0021-53975,2,1,"EA 10/19: qty 1 rejected
M2 thread depth measures undersized; should be .157"" ± .005"", measures .137""
dimpling/raised surfaces outside of ",Dimensional,Nominal Machining LLC,RTV,Marco,10/21/2021,,-44488,,10/21/21 - this NCR 5696 was the replacement part  for the original NCR 5596.  An email was sent to Marco to notify supplier. ,Open,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,5697,RTM476163,0042-46746,1,1,1.485±.005 IS 1.494,Dimensional,Nominal Machining LLC,RTV,Marco,10/21/2021,11/1/2021,12,,"10/21/21 - An email was sent to Marco to notify supplier. 
10/22/21- New parts coming in today from supplier. 
11/1/21- Replacement part received, re-inspected and passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,5698,ASM468411,0090-10016,2,6,"EA 10/19: qty 6 rejected
Item 17 (tubing p/n 3860-00772) does not fit into mating part (elbow fitting p/n 3300-15201). Tube should be Ø 6.0mm, measures 6.26-6.37mm",Dimensional,DC ELECTRONICS  an Amphenol company,RTV,Marco,10/21/2021,,-44489,,10/21/21 - An email was sent to Marco to notify supplier. ,Open,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,5699,471895,713-083736-001,B,1,PART CRACKED DURING HARDWARE INSTALLATION PLEASE SEE PICTURES ON FILE,Workmanship,Production(Fab),Scrap,Marcelino,10/21/2021,10/21/2021,1,,10/21/21 - Per Marcelino and Vladimir part is not reworkable. DMR 2816 ,Closed,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,5700,ASM468411,0090-10016,2,2,"EA 10/20: qty 2 rejected
SH1 B8: Main key on J8141/J8181 BUF HD MTR connector is rotated 90°, cannot install onto assembly due to 90° rotation of elbow connector (clearance issue",Workmanship,DC ELECTRONICS  an Amphenol company,RTV,Marco,10/21/2021,,-44489,,10/21/21 - An email was sent to Marco to notify supplier. ,Open,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,5701,472200,CSN-0149-02,2,1,Flatness 3mm is 5mm,Dimensional,CNC,Scrap,Erik L. ,10/21/2021,10/25/2021,5,$691.00 ,"10/21/21 - Part was released to Erik L for rework.
10/25/21- Part is not reworkable per Erik L. 2820",Closed,A copy of this NCR was provided to Estuardo for approval.,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,5702,473504,15-431472-00,E,1,"Part Received Damaged from SubContractor, Corner chipped, Page 1 Zone C8, See Pictures.",Cosmetic,Carrier/Delivery Service,Scrap,Marco,10/21/2021,10/25/2021,5,$426.00 ,"10/25/21 - Damaged during transit and Part is not reworkable. 
DMR 2821",Closed,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,5703,ASM463786,0041-61630,3,5,"EA 10/20: qty 5 rejected
qty 1 o-ring groove oversized; o-ring does not stay in groove when assembled
qty 4 damaged due to handling, cannot be repaired",Cosmetic,CNC,Scrap,Edgard/Erik L. ,10/21/2021,10/21/2021,1,$0.00 ,10/21/21 -Parts are not reworkable per Erik L. DMR 2817,Closed,,,,,,,,,,,,,,,,,,,,,,,
10/20/2021,5704,ASM470438,0022-55328,4,31,PER IPI DATA PARTS HAD NO ADJUSTMENT SHEET 1 ZONE E10 ADN E6 BOTH Ø ARE UN,Dimensional,CNC,Rework,Erik L. ,10/21/2021,,-44489,$0.00 ,"10/21/21 - Parts were released to Erik L for rework
11/3/21- Reworked and parts were released to QC for inspection. ",Open,,,,,,,,,,,,,,,,,,,,,,,
10/21/2021,5705,P474915,0022-79895,3,4,"Material is PVC. Required material should be CPVC
AMAT can only approve CPVC clear (FM4910)",Material Issue(functional),Qouting ,Scrap,Gabby G,10/22/2021,10/22/2021,1,$890.00 ,"10/22/21- Scrap. DMR 2818
Linked SO to job 476521 and closed job P474915",Closed,A copy of this NCR was provided to Estuardo for approval.,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,5706,474030,0022-64364,2,2,"Parts are missing counterbore D4, Is suppose to be .312"" with .180"" deep
",Dimensional,Stratasys Direct Inc.,RTV,Marco,10/22/2021,,-44491,$0.00 ,"10/22/21 - An email was sent to Marco to notify supplier. 
11/03/21- Multiple email was sent to Simone to ship the parts back to supplier in order for them to rework these parts. ",Open,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,5707,SCI471170,0041-40794,3,28,3x .100±.010 IS .115-.135,Dimensional,Fabrication,Rework,Marcelino,10/22/2021,11/1/2021,10,$0.00 ,"10/22/21 - Parts were released to Marcelino for rework. PC to add routing and operation and IPI sequence to this job.
11/1/21- Reworked and passed inspection. ",Closed,,,,,,,,,,,,,,,,,,,,,,,
10/22/2021,5708,p474588,0022-78868,3,9,Thru pos.  out of  tolerance in all ,Dimensional,CNC,Scrap,Erik L. ,10/22/2021,10/26/2021,4,"$2,421.00 ","10/22/21 - Parts were released to Erik L for rework .
10/26/21- Parts are not reworakble per Erik L. DMR 2823",Closed,A copy of this NCR was provided to Estuardo for approval.,,,,,,,,,,,,,,,,,,,,,,
10/25/2021,5709,cp473166,0021-04297,3,1,Surface damage,Workmanship,Fabrication,Scrap,Vladimir/Marcelino,10/25/2021,10/25/2021,0,$177.00 ,"10/25/21- Part is not reworkable.
10/25/21- DMR 2822 ",Closed,,,,,,,,,,,,,,,,,,,,,,,
10/25/2021,5710,p476313,701-021371-0001 ,6,77,"data collection for edgard and justin 
73pcs to cleaning 
77pcs rejected for workmanship and dims oot","Dimensional/
Workmanship",Nominal Machining LLC,RTV,Marco,10/25/2021,,,$0.00 ,"10/25/21 - An email was sent to Marco to notify supplier. 
11/3/21- Replacement part received and back in QC for inspection",Open,,,,,,,,,,,,,,,,,,,,,,,
10/25/2021,5711,476137,0022-82527,2,4,DIMENSION OUT SEE CMM REPORT,Dimensional,CNC,Rework,Erik L. ,10/25/2021,,,$0.00 ,"10/25/21 - An email was sent to Erik L regarding this issue.
11/3/21- Pending rework ",Open,,,,,,,,,,,,,,,,,,,,,,,
10/25/2021,5712,RW476889,0090-10016,2,8,"(these are rejected parts due to inventory purge, reference NCR5700)
SH1 B8: Main key on J8141/J8181 BUF HD MTR connector is rotated 90°, cannot install onto assembly due to 90° rotation of elbow connector (cleara",Workmanship,DC ELECTRONICS  an Amphenol company,RTV,Marco,10/25/2021,,,$0.00 ,"10/25/21 - An email was sent to Marco to notify supplier. 
11/3/21 - A follow up email was sent to Marco regarding this issue. ",Open,,,,,,,,,,,,,,,,,,,,,,,
10/25/2021,5713,475974,0042-18664,2,4,Incorrect insert used : Actual is MCMC# 96246A242 Should be: DBPN# HELT1185-4E37,Workmanship,Qouting ,Rework,Vladimir/Olga,10/25/2021,,,$0.00 ,"10/25/21 - Release parts to production  to replace insert. 
11/3/21- A follow up email was sent to Olga. ",Open,,,,,,,,,,,,,,,,,,,,,,,
10/26/2021,5714,472247,839-A552200-001,A,40,"Item 1 (tube) material is incorrect. Should be 75A durometer FKM, is made out of PFA",Workmanship,Engineered Machinery Inc (EMI),RTV,Marco,10/26/2021,,,$0.00 ,"10/26/21 - An email was sent to Marco to notify supplier. 
11/2/21- Parts were returned to supplier 
. ",Open,,,,,,,,,,,,,,,,,,,,,,,
10/26/2021,5715,472614,839-A552200-001,A,24,"Item 1 (tube) material is incorrect. Should be 75A durometer FKM, is made out of PFA
NOTE: qty 4 of 24 are from (already were kitted to) assembly job 472240",Workmanship,Engineering Machinery Inc) ,RTV,Marco,10/27/2021,,,$0.00 ,"10/26/21 - An email was sent to Marco to notify supplier. 
11/2/21- Parts were returned to supplier 
. ",Open,,,,,,,,,,,,,,,,,,,,,,,
10/27/2021,5716,473088,CSN-0149-02,PR.1,1,"Section A-A Sheet B8 Torque Width Mean 3.000 =/- 0.12mm, Values are under size. Ex 2.65mm to 2.81mm",Defective Mtrl(dimensional),CNC,Rework,Erik L. ,10/28/2021,11/2/2021,,$691.00 ,"10/28/21 - Part was released to Erik L for rework.
11/2/21- Part is not reworkable.DMR   2824",Closed,,,,,,,,,,,,,,,,,,,,,,,
10/27/2021,5717,P471558,0042-44581,7,2,PARTS ENGRAVED WITH WRONG PART #. SEE NCR FOR MULTIPLE DICREPANCIES,Dimensional,CNC,Rework,Erik L. ,10/28/2021,,,$0.00 ,"10/28/21 - Parts were released to Erik L for rework.  
11/1/21- Kenny is reviewing the rework program for this job order. 
11/3/21- A follow up email was sent to Kenny. ",Open,,,,,,,,,,,,,,,,,,,,,,,
10/27/2021,5718,CP473637,0042-39886,3,1,"Sheet 2 of 9, Zone B-2,3 SPEC: DIA. 12.396 +.000/-.005 
ACTUAL: Serial Number 301514-3721-0005 UNDERSIZE @ 12.3896",Dimensional,Lathe,Rework,Eulalo,10/28/2021,11/3/2021,,$0.00 ,"10/28/21 - Part was released to Erik L for rework.  
11/3/21- The rejection is an outside diameter that is undersize.
It cannot be re-worked.
",Open,,,,,,,,,,,,,,,,,,,,,,,
10/29/2021,5719,it-e476165,CHP-INT-00057,4,898,overal part dont meet print thickness should be 4.0 actual is between .36-.48 all dimesnions are oos,Dimensional,Fabri-Tech,RTV,Marco,10/29/2021,,, ,"10/29/21 - An email was sent Marco to notify the supplier. 
11/03/21- 1 part was released to Jose to re-measure. Pending action from DQ/ES . ",Open,,,,,,,,,,,,,,,,,,,,,,,
10/29/2021,5720,MT-P472990,CHM-AMT-00032,2,15,RING GAGE WON'T GO AND Ø.153 +.000/-.002 IS .150,sub(dimensional),D-TEK MANUFACTURING,RTV,Marco,10/29/2021,,,,"10/29/21 - An email was sent Marco to notify the supplier. 
11/2/21- Missing 2 pieces. Vinh contacted supplier to send 2 more parts to relpalce the missing parts. ",Open,,,,,,,,,,,,,,,,,,,,,,,
10/29/2021,5721,477264,1350-00618,,2,"Qty 1 does not function properly. Flowrate is not reading correctly during module testing (showing negative flowrate with positive flow) -- [reference 210719 J0008136780047]
Qty 1 damaged; 1x mounting bracket is broke",Defective Mtrl(functional),Steven Engineering,RTV,Marco,10/29/2021,,,,10/29/21 - An email was sent Marco to notify the supplier. ,Open,,,,,,,,,,,,,,,,,,,,,,,
10/29/2021,5722,477265,1270-02816,,2,"EA 10/29: qty 2 rejected
Part cannot be installed into unit; yellow tip of sensor not co-axial with threaded secti",Workmanship,Powermatic,RTV,Marco,10/29/2021,,,,10/29/21 - An email was sent Marco to notify the supplier. ,Open,,,,,,,,,,,,,,,,,,,,,,,
10/29/2021,5723,477266,1350-00491,,2,"EA 10/29: qty 2 rejected
1x (DC: 7/23/18) found with missing pin/broken connector
1x (DC: 01/27/18) not fucntioning properly; during testing pressure reading is negative, should be around 3",Workmanship,Steven Engineering,RTV,Marco,10/29/2021,,,,10/29/21 - An email was sent Marco to notify the supplier. ,Open,,,,,,,,,,,,,,,,,,,,,,,
10/29/2021,5724,477267,1400-01498,,5,"EA 10/29:
qty 5 rejected; does not detect water as intended",Functional,Gem Sensor,Scrap,Marco,10/30/2021,11/3/2021,,1371.7,"10/29/21 - An email was sent Marco to notify the supplier. 
11/03/21- Per Erik A parts should be scrap, a new sensor is currently being used.
DMR 2826",Closed,A copy of this NCR was provided to Estuardo for approval.,,,,,,,,,,,,,,,,,,,,,,
