QN#,Date Opened,Title,Part number,Work Center,Defect Type,Serial Number,OSTR Actions Complete
40664943,1/23/2022,0041-85154 Upper Baffle,0041-85154,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40664760,1/23/2022,0010-50933 Interlock cover switch tab,0010-50933,36MDPCHT,ASSEMBLED INCORRECTLY / WORKMANSHIP,5021,YES
40664717,1/23/2022,Wrong part received,0022-25690,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40664250,1/21/2022,Broken Cover,0030-00374,36MDPCHT,PART DAMAGE / COSMETIC ISSUE,300047-4921-14,YES
40664241,1/21/2022,0022-16225 Wrong part received,0022-16225,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40664145,1/21/2022,CLNR BBX DIGITAL SENSOR,0010-84707,34CMPB,FUNCTIONAL FAILURE,20-1835-152,YES
40664070,1/21/2022,Meg door,0041-12542,34CMPFT,AMAT Spec Reviewed - PART NOT TO SPEC,,YES
40663967,1/21/2022,Wrong part-Sup Mispick,0051-43801,34CMPB,PART - MISSING/WRONG PART OR QTY,RTM1026193421,YES
40663883,1/21/2022,Motor Cover found crack,0040-21294,55CPGRBB,PART DAMAGE / COSMETIC ISSUE,3421,YES
40663817,1/21/2022,cracked weldment,0042-37352,34CMPKB,PART DAMAGE / COSMETIC ISSUE,,YES
40663557,1/20/2022,Merlion polisher 901470,0022-04679,34CMPB,PART DAMAGE / COSMETIC ISSUE,3021-47,YES
40663253,1/20/2022,Defective Wafer Roller,0010-84707,34CMPB,FUNCTIONAL FAILURE,,YES
40663224,1/20/2022,Gantry cover,0022-89355,36NPIB,PART DAMAGE / COSMETIC ISSUE,,YES
40663065,1/20/2022,Leakage at DIW tubing,0051-90798,52CMPPPT,LEAK,,YES
40663016,1/20/2022,Shield crack,0042-36248,52CMPMPT,PART DAMAGE / COSMETIC ISSUE,,YES
40662743,1/19/2022,CLNR 0010-62724 damaged part,0010-62724,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40662693,1/19/2022,CLNR Middle Door Bent,0010-59818,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40662602,1/19/2022,CLNR-discoloration,0041-37655,34CMPFT,PART DAMAGE / COSMETIC ISSUE,SCI470326,YES
40662545,1/19/2022,loose screw,0010-68059,34CMPB,FIT ISSUE,5021-SN01207,YES
40662493,1/19/2022,Elbow on B side on pre-clean mod broke,0010-86295,34CMPB,PART DAMAGE / COSMETIC ISSUE,2721-301514-SN0016,YES
40662327,1/19/2022,Logistics identified missing part,0042-33566,B45LOG,PART - MISSING/WRONG PART OR QTY,,YES
40662289,1/19/2022,0041-13560 CLNR-mispick,0041-13560,34CMPKB,PART - MISSING/WRONG PART OR QTY,,YES
40662204,1/19/2022,CLNR - Wrong Module Drip Pan-mispick,0042-39400,34CMPB,PART - MISSING/WRONG PART OR QTY,,YES
40662029,1/18/2022,Bad Membrane Clamp,0022-38652,34CMPFT,PART DAMAGE / COSMETIC ISSUE,,YES
40661545,1/18/2022,Part received with-out screw hole,0045-00689,52CMPPPB,AMAT Spec Reviewed - PART NOT TO SPEC,875,YES
40661485,1/18/2022,Wrong hole geometry(0042-30145),0042-30145,34CMPKB,AMAT Spec Reviewed - PART NOT TO SPEC,108790_2321,YES
40660977,1/17/2022,Bend RF gasket 0015-07327,0015-07327,33ALDCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40660939,1/17/2022,"0030-00596 cover, detached from glue",0030-00596,36MDPCP,PART DAMAGE / COSMETIC ISSUE,442106,YES
40660849,1/17/2022,CLNR: Broken Exhst,0051-79383,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40660839,1/17/2022,Damaged Bulkhead Module 4,0010-84707,34CMPB,FUNCTIONAL FAILURE,,YES
40660420,1/16/2022,LOG (B52 AL) WRONG PART,0010-64912,B52LOG,PART - MISSING/WRONG PART OR QTY,NA.,YES
40660225,1/16/2022,Logistics (B52 AL) Identified wrong part,0010-65669,B52LOG,PART - MISSING/WRONG PART OR QTY,NA.,YES
40660082,1/15/2022,Flattened Gasket(0015-07320),0015-07320,33ALDCHB,ASSEMBLED INCORRECTLY / WORKMANSHIP,,YES
40660025,1/15/2022,0020-64129 CCM Cover MFL,0020-64129,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40659962,1/15/2022,0022-26446 x1 MFL,0022-26446,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40659953,1/15/2022,0010-80128 x1 MFL,0010-80128,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40659686,1/14/2022,Missing Part,0010-50933,B30LOG,PART - MISSING/WRONG PART OR QTY,,YES
40659560,1/14/2022,0150-49768 miss pick,0150-49768,33FEPCHF,ASSEMBLED INCORRECTLY / WORKMANSHIP,,YES
40659553,1/14/2022,Not built to spec,0041-94880,34CMPCP,AMAT Spec Reviewed - PART NOT TO SPEC,,YES
40659547,1/14/2022,"Upper arm, arm bade-discoloration",0042-35796,34CMPKB,PART DAMAGE / COSMETIC ISSUE,116058-3921,YES
40659479,1/14/2022,MFL 0022-25690,0022-25690,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40659449,1/14/2022,"NSO, PN: 0042-23590, Cosmetic Damage",0042-23590,34CMPKB,PART DAMAGE / COSMETIC ISSUE,,YES
40659368,1/14/2022,ENCODER/PWR bracket swapped A/B side BB1,0010-84707,34CMPFT,ASSEMBLED INCORRECTLY / WORKMANSHIP,,YES
40659339,1/14/2022,ENCODER/PWR brackets swapped A/B side,0010-84707,34CMPFT,ASSEMBLED INCORRECTLY / WORKMANSHIP,,YES
40659338,1/14/2022,inner shield warp,0045-00686,52CMPPPB,FIT ISSUE,301514-3621-797,YES
40659145,1/14/2022,Wrong bracket installed,0010-84707,34CMPB,ASSEMBLED INCORRECTLY / WORKMANSHIP,3621-SN01094,YES
40659062,1/13/2022,wrong part received-mispick,0042-43059,34CMPKB,PART - MISSING/WRONG PART OR QTY,,YES
40659056,1/13/2022,wrong part received-mispick,0042-43059,34CMPKB,PART - MISSING/WRONG PART OR QTY,,YES
40659034,1/13/2022,Missing Thread,0010-52049,52CMPPPB,AMAT Spec Reviewed - PART NOT TO SPEC,NA.,YES
40658828,1/13/2022,Slurry arm screw tread damage,0010-89525,52CMPPSB,OTHER,,YES
40658825,1/13/2022,Wrong part,0150-49768,33FEPCHF,PART - MISSING/WRONG PART OR QTY,,YES
40658821,1/13/2022,Slurry arm screw tread damage,0010-89525,52CMPPSB,PART DAMAGE / COSMETIC ISSUE,NA.,YES
40658806,1/13/2022,IPC Spraybar Thread Defect,0010-23525,52CMPPSB,FIT ISSUE,NA.,YES
40658757,1/13/2022,Not built to spec,0041-94880,34CMPCP,ASSEMBLED INCORRECTLY / WORKMANSHIP,SCI469333-5021,YES
40658748,1/13/2022,QN Voided - duplicate,0041-94880,34CMPCP,OTHER,,YES
40658745,1/13/2022,Not built to spec,0041-94880,34CMPCP,ASSEMBLED INCORRECTLY / WORKMANSHIP,,YES
40658744,1/13/2022,Wet robot drip pan incomplete,0041-94880,34CMPB,ASSEMBLED INCORRECTLY / WORKMANSHIP,,YES
40658640,1/13/2022,wrong part,0030-00596,36MDPCHB,PART - MISSING/WRONG PART OR QTY,,YES
40658607,1/13/2022,Cable brackets swapped,0010-84707,34CMPB,ASSEMBLED INCORRECTLY / WORKMANSHIP,4221-SN01141,YES
40658590,1/13/2022,Wrong brackets installed,0010-84707,34CMPB,ASSEMBLED INCORRECTLY / WORKMANSHIP,5021-SN01202,YES
40658334,1/13/2022,Test failed,0041-77748,52CMPHDB,TEST ISSUE,,YES
40658137,1/12/2022,missing part,0020-47026,36MDPCHB,PART - MISSING/WRONG PART OR QTY,,YES
40657900,1/12/2022,"BRACKET, MANIFOLD MOUNT, CATALYST",0042-28515,34CMPKB,PART DAMAGE / COSMETIC ISSUE,4121,YES
40657800,1/12/2022,RIGHT MODULE SIDE DOOR latch,0010-59205,34CMPB,FUNCTIONAL FAILURE,,
40657643,1/12/2022,Spray bar installation,0042-30574,34CMPKB,OTHER,,YES
40657182,1/11/2022,CLNR | 0041-36583 | Crack,0041-36583,34CMPKB,PART DAMAGE / COSMETIC ISSUE,3721,YES
40657027,1/11/2022,Pre Clean Hi Hi sensor,0010-86295,34CMPFT,FUNCTIONAL FAILURE,3521-301514-SN0027,YES
40657014,1/11/2022,QN VOIDED,0041-36583,34CMPFT,OTHER,,YES
40656941,1/11/2022,CLNR- 0041-37291 Cracked,0041-37291,34CMPFT,PART DAMAGE / COSMETIC ISSUE,SCI473326,YES
40656856,1/11/2022,Part crack,0051-91679,52CMPPPB,PART DAMAGE / COSMETIC ISSUE,,YES
40656709,1/10/2022,LOG (B52 QC) SUPPLIER WRONG PART,0022-14027,B52LOG,PART - MISSING/WRONG PART OR QTY,3554,YES
40656636,1/10/2022,cover top crack,0041-54099,52CMPPCB,PART DAMAGE / COSMETIC ISSUE,,YES
40656472,1/10/2022,POL Slurry Arm Replace Covers 0042-43703,0042-43703,34CMPB,AMAT Spec Reviewed - PART NOT TO SPEC,3221-471446,YES
40656367,1/10/2022,Gantry cover 0022-89355 not meet spec.,0022-89355,36NPIB,PART DAMAGE / COSMETIC ISSUE,301514-4721,YES
40656276,1/10/2022,wrong part,0022-27923,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40656241,1/10/2022,0022-89355 side walls came loose #2,0022-89355,36NPIB,PART DAMAGE / COSMETIC ISSUE,301514-4721,YES
40656218,1/10/2022,Logistics identified missing part.,0022-96478,B45LOG,PART - MISSING/WRONG PART OR QTY,,YES
40655767,1/9/2022,Shield Safety,0030-00374,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,300047-4521-07,YES
40655601,1/8/2022,Preclean Leak,0010-86295,34CMPFT,ASSEMBLED INCORRECTLY / WORKMANSHIP,4421-301514-SN0049,YES
40655497,1/9/2022,A01275/1804199 - Tab broke off,0022-83732,33FEPINB,PART DAMAGE / COSMETIC ISSUE,,YES
40655429,1/8/2022,LOG (B54 OPS) SUPPLIER WRONG PART,0022-14027,B54LOG,PART - MISSING/WRONG PART OR QTY,3543,YES
40655355,1/8/2022,Logistics identified wrong part,0010-50933,B30LOG,PART - MISSING/WRONG PART OR QTY,,YES
40655286,1/8/2022,0022-25690 MFL,0022-25690,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40655157,1/7/2022,"702929-A, bushings, 0022-27863",0022-27863,36ETCCHB,OTHER,,YES
40655100,1/7/2022,POL Slurry Arm Covers 0042-43703,0042-43703,34CMPB,AMAT Spec Reviewed - PART NOT TO SPEC,2921,YES
40654973,1/7/2022,safety shield,0030-00374,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,502118,YES
40654833,1/7/2022,Right carriage cover,0010-52934,52CMPPPT,PART - MISSING/WRONG PART OR QTY,,YES
40654798,1/7/2022,LOGISTICS (POU LP) IDENTIFIED MISSING,0041-94548,B52LOG,PART - MISSING/WRONG PART OR QTY,NA,YES
40654515,1/7/2022,0022-89355 side walls came loose,0022-89355,36NPIB,PART DAMAGE / COSMETIC ISSUE,,YES
40654212,1/6/2022,POL 0042-45127 Bad Helicoils,0042-45127,34CMPB,PART DAMAGE / COSMETIC ISSUE,4521-03,YES
40654211,1/6/2022,cover built wrong,0022-89355,B36LOG,AMAT Spec Reviewed - PART NOT TO SPEC,,YES
40654197,1/6/2022,Bad PC HI-HI sensor 1400-31199,0010-86295,34CMPFT,FUNCTIONAL FAILURE,3621-301514-SN0031,YES
40653788,1/5/2022,CLNR 0041-94880 not to spec,0041-94880,34CMPFT,AMAT Spec Reviewed - PART NOT TO SPEC,5021,YES
40653780,1/5/2022,missing part,0030-00374,36MDPCHB,PART - MISSING/WRONG PART OR QTY,,YES
40653603,1/5/2022,Glass shield broken or separat in bag,0030-00374,36MDPCHB,PART DAMAGE / COSMETIC ISSUE,109470-4921,YES
40653454,1/5/2022,QN VOIDED,0022-79255,34CMPB,OTHER,,YES
40653383,1/5/2022,CLNR - 900276N10 - Bay 19-MFL,0051-35820,34CMPB,PART - MISSING/WRONG PART OR QTY,,YES
40652962,1/4/2022,PreClean Hi Sensor Inoperable,0010-86295,34CMPFT,FUNCTIONAL FAILURE,3621-301514-SN0031,YES
40652487,1/4/2022,door crack,0010-64911,52CMPPPT,PART DAMAGE / COSMETIC ISSUE,NA.,YES
40652437,1/4/2022,CLNR: Damaged Exhaust Weldment,0042-34233,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40652280,1/4/2022,EXHAUST SEPARATOR,0042-47711,36NPIB,FIT ISSUE,,YES
40652005,1/3/2022,Incorrect quantity,0022-20634,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40651992,1/3/2022,Logistics Part Lost,0010-50933,B30LOG,PART - MISSING/WRONG PART OR QTY,,YES
40651822,1/3/2022,POL 0042-28892 x1,0042-28892,34CMPKB,PART DAMAGE / COSMETIC ISSUE,,YES
40651739,1/3/2022,Door lock hole,0042-44372,52CMPMPB,OTHER,,YES
40651689,1/2/2022,Wrong part in packaging (0022-89671)x1,0022-89671,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40651504,1/1/2022,CT outer shield deform,0045-00689,52CMPPPT,TEST ISSUE,816,YES
40651305,12/30/2021,Cracked upon detrash,0041-54099,52CMPPCB,PART DAMAGE / COSMETIC ISSUE,,YES
40651140,12/30/2021,Wafer sensor cable pin is broken,0010-84707,34CMPFT,PART DAMAGE / COSMETIC ISSUE,,YES
40651126,12/30/2021,Indexer Cover Wrong orientation,0022-44446,55CPGLLB,AMAT Spec Reviewed - PART NOT TO SPEC,NA.,YES
40650984,12/30/2021,QN VOIDED,0010-68059,34CMPB,OTHER,SN01195,YES
40650937,12/30/2021,"CLNR, PC cover wrong qty, short 1",0021-84589,34CMPFT,PART - MISSING/WRONG PART OR QTY,,YES
40650878,12/30/2021,Lid latch broken/ MF ISSUE,0021-06315,32EPGCHB,ASSEMBLED INCORRECTLY / WORKMANSHIP,N/A,YES
40650871,12/30/2021,Part # 0042-33948. Wobbling,0042-33948,34CMPKB,AMAT Spec Reviewed - PART NOT TO SPEC,1221,YES
40650761,12/29/2021,Part damage.,0022-75458,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40650753,12/29/2021,Part damage,0042-30700,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40650750,12/29/2021,Below P3 hclu leak,0042-40267,52CMPMPT,LEAK,,YES
40650697,12/30/2021,Wrong Part,0010-68059,34CMPB,ASSEMBLED INCORRECTLY / WORKMANSHIP,SN01200,YES
40650662,12/29/2021,0041-85154 upper baffle,0041-85154,36ETCCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40650269,12/29/2021,spray bar flare screw insert,0010-84707,34CMPB,FIT ISSUE,SN1081,YES
40650132,12/28/2021,Part not found in the packaging,0022-04678,52CMPPPB,PART - MISSING/WRONG PART OR QTY,,YES
40650068,12/28/2021,PC Side A Hi-Hi Sensor Inop,0010-86295,34CMPFT,FUNCTIONAL FAILURE,3621-301514-SN0031,YES
40650063,12/28/2021,Missing Part,0030-01173,36MDPCHT,PART - MISSING/WRONG PART OR QTY,,YES
40649922,12/28/2021,Logistics wrong part,0022-10409,B30LOG,PART - MISSING/WRONG PART OR QTY,,YES
40649896,12/28/2021,901926 Floor loss MTR 0051-04874,0051-04874,34CMPB,PART - MISSING/WRONG PART OR QTY,,YES
40649727,12/28/2021,bad sensors,0010-86295,34CMPB,PART DAMAGE / COSMETIC ISSUE,SN0029,YES
40649451,12/27/2021,Wrong Part,0022-27235,45NSSCKI,OTHER,,YES
40649371,12/27/2021,OP60 PIB shield 0030-00374,0030-00374,36MDPCHB,PART - MISSING/WRONG PART OR QTY,,YES
40649366,12/27/2021,0022-48839 Shelf Liner,0022-48839,36ETCERB,PART - MISSING/WRONG PART OR QTY,,YES
40649360,12/27/2021,Wrong part,0030-00596,36MDPCP,PART - MISSING/WRONG PART OR QTY,,YES
40649357,12/27/2021,B02163-4 Missing Gasline Cover,0030-00370,36MDPCHT,PART - MISSING/WRONG PART OR QTY,,YES
40649268,12/28/2021,PB Safety Shield 0030-00374,0030-00374,36MDPCHT,PART DAMAGE / COSMETIC ISSUE,N/A,YES
40649242,12/27/2021,THREADING INSERT,0010-63335,34CMPB,FIT ISSUE,4321-SN01148,YES
40649066,12/27/2021,Logistics identified missing part,0051-79383,B34LOG,PART - MISSING/WRONG PART OR QTY,,YES
40649045,12/27/2021,Adjuster Block Screw Holes,0010-84707,34CMPB,AMAT Spec Reviewed - PART NOT TO SPEC,4721-SN01187,YES
40648585,12/24/2021,QCA-Cp-B02079-5       0030-00596 BROKEN,0030-00596,36MDPCP,PART DAMAGE / COSMETIC ISSUE,,YES
40648303,12/23/2021,QN Voided - reference QN 40650465,0041-79195,34CMPB,OTHER,,YES
40648298,12/23/2021,Missing thread on actuator,0010-52049,52CMPPPB,FIT ISSUE,4221,YES
40648042,12/23/2021,part needs replacement,0042-44649,36NPIB,FIT ISSUE,,YES
40647939,12/23/2021,Missing part,0041-79627,36MDPCHB,PART - MISSING/WRONG PART OR QTY,,YES
40647907,12/23/2021,Logistics identified missing part,0051-79383,B34LOG,PART - MISSING/WRONG PART OR QTY,,YES
40647160,12/22/2021,POL | 0020-77851x2 | Discoloration,0020-77581,34CMPLZB,PART DAMAGE / COSMETIC ISSUE,,YES
40647096,12/22/2021,LOG (B54INB)Shock /Tilt Watch Trigger,0041-81031,B54LOG,OTHER,,YES
40647074,12/22/2021,0042-47711 is not fit,0042-47711,36NPIB,FIT ISSUE,,YES
40647018,12/22/2021, p813  screw hole,0022-03918,34CMPB,AMAT Spec Reviewed - PART NOT TO SPEC,31221,YES
40646778,12/21/2021,feeder 30,0040-80652,36MDPWKB,FIT ISSUE,362108,YES
40646543,12/21/2021,Logistics identified missing part,0010-59204,B34LOG,PART - MISSING/WRONG PART OR QTY,,YES
40646450,12/21/2021,"LOADCUP, cover found broken",0040-08337,52CMPPSB,PART DAMAGE / COSMETIC ISSUE,,YES
40646370,12/21/2021,MISSING PART,0030-00370,36MDPCHT,PART - MISSING/WRONG PART OR QTY,,YES
40646271,12/21/2021,Wrong adaptors on PC,0010-86295,34CMPB,PART DAMAGE / COSMETIC ISSUE,3521-301514-SN0027,YES
40646248,12/21/2021,Damaged/Broken Corner,0041-94880,34CMPFT,PART DAMAGE / COSMETIC ISSUE,SCI473242,YES
40646199,12/21/2021,Gantry housg 0022-89355 sides came loose,0022-89355,36NPIB,PART DAMAGE / COSMETIC ISSUE,,YES
40646138,12/21/2021,gantry cover 0022-89355 broken,0022-89355,36NPIB,PACKAGING,,YES
40646064,12/21/2021,Pins Will Not Fit into Plate,0040-80652,36MDPWKB,FIT ISSUE,3621-09,YES
40645885,12/20/2021,No thread found on drip pan,0042-39930,52CMPMPB,FIT ISSUE,,YES
40645451,12/20/2021,Major cosmetic discrepancy - Speckled,0021-84589,34CMPCP,PART DAMAGE / COSMETIC ISSUE,3521-06,YES
40645444,12/20/2021,parts came in damaged,0041-14290,34CMPKB,PART DAMAGE / COSMETIC ISSUE,CPSC107832-3821,YES
40645282,12/20/2021,Carriage cover screw missing,0010-60438,52CMPPPT,AMAT Spec Reviewed - PART NOT TO SPEC,,YES
40645277,12/20/2021,splash guard cracked,0042-36248,52CMPMPT,PART DAMAGE / COSMETIC ISSUE,,YES
40644979,12/19/2021,Centering Feed-thru nut,0021-23614,36MDPCHB,ASSEMBLED INCORRECTLY / WORKMANSHIP,,YES
40644841,12/18/2021,slurry arm pin connection found broken,0010-64303,52CMPPSB,PART DAMAGE / COSMETIC ISSUE,NA.,YES
40644715,12/18/2021,Missing Cover Brackets,0010-50933,36MDPCHT,ASSEMBLED INCORRECTLY / WORKMANSHIP,SCI471140,YES
40644487,12/17/2021,"0010-50933, 1794777, PVD Cover Replace",0010-50933,36MDPCHT,ASSEMBLED INCORRECTLY / WORKMANSHIP,,YES
40644484,12/17/2021,0041-85154 Upper Baffle,0041-85154,36ETCCHB,PART DAMAGE / COSMETIC ISSUE,,YES
40644146,12/17/2021,damaged front plate,0041-36583,34CMPKB,PART DAMAGE / COSMETIC ISSUE,,YES
40644136,12/17/2021,HPO orings,0022-31316,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40643899,12/16/2021,Test failed,0041-77748,52CMPHDB,TEST ISSUE,,YES
40643856,12/16/2021,Turn ON DIW found leak,0051-90798,52CMPPPT,LEAK,,YES
40643852,12/16/2021,No thread found on drip pan,0010-93433,52CMPMPB,OTHER,,YES
40643744,12/16/2021,"0022-20634 Baffle , Center",0022-20634,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40643392,12/16/2021,"CLNR, loose thread insert",0041-37259,34CMPFT,ASSEMBLED INCORRECTLY / WORKMANSHIP,4321,YES
40643355,12/16/2021,broke screw inside plate,0021-84180,34CMPKB,PART DAMAGE / COSMETIC ISSUE,221,YES
40642980,12/15/2021,Input Shuttle Tank Bows Inward,0041-35648,34CMPFT,PART DAMAGE / COSMETIC ISSUE,3821,YES
40642877,12/15/2021,Wrong part received-mispick,0021-47127,34CMPKB,PART - MISSING/WRONG PART OR QTY,,YES
40642614,12/15/2021,SPRAY BAR FLARE FITTING ADAPTOR,0022-55449,34CMPB,PART - MISSING/WRONG PART OR QTY,,YES
40642390,12/15/2021,Housing damaged upon arrival,0021-87856,34SMGRPC,PACKAGING,,YES
40642227,12/14/2021,Part found with tear,0055-03523,52CMPMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40642126,12/14/2021,Logistics Identified Missing Part,0040-76117,B30LOG,PART - MISSING/WRONG PART OR QTY,,YES
40642041,12/14/2021,drain pipe leak,0051-43290,52CMPMPT,LEAK,22106,YES
40641898,12/14/2021,cracked exhaust for P1,0051-46626,34CMPB,PART DAMAGE / COSMETIC ISSUE,4921-03,YES
40641885,12/14/2021,Helicoil manufacturing defect,0041-30145,34CMPFT,FIT ISSUE,,YES
40641615,12/14/2021,CLN:C2/STA1-HPC,0042-30343,B34LOG,FIT ISSUE,,YES
40641405,12/13/2021,Pre-Clean Module Door Damaged,0041-95238,34CMPFT,PART DAMAGE / COSMETIC ISSUE,2921,YES
40641307,12/13/2021,CP B02079-3 lid cover damage 0021-44940,0021-44940,36MDPCP,PART DAMAGE / COSMETIC ISSUE,3015144921,YES
40641272,12/13/2021,Clamp C corner portion chip off,0041-77748,52CMPHDB,PART DAMAGE / COSMETIC ISSUE,,YES
40641271,12/13/2021,Window screen different colour.,0010-64913,52CMPPPT,PART DAMAGE / COSMETIC ISSUE,,YES
40641181,12/13/2021,POL Exhaust Weldment 0051-46626 Cracked,0051-46626,34CMPB,PART DAMAGE / COSMETIC ISSUE,2921-07,YES
40641173,12/13/2021,CLN: C2/STA1,0042-33991,B34LOG,FUNCTIONAL FAILURE,1221,
40641138,12/13/2021,HPO O-ring,0022-31316,36ETCCHB,PACKAGING,,YES
40641111,12/13/2021,CLN:C2/STA1- ProcessBase,0042-28989,B34LOG,AMAT Spec Reviewed - PART NOT TO SPEC,3021,YES
40641043,12/13/2021,Damage,0042-35959,34CMPB,PART DAMAGE / COSMETIC ISSUE,3821-03,YES
40641036,12/13/2021,Upper door shield crack,0042-36248,52CMPMPT,PART DAMAGE / COSMETIC ISSUE,,YES
40640968,12/13/2021,"CLNR, Preclean HiHI Side B",0010-86295,34CMPFT,FUNCTIONAL FAILURE,4321-301514-SN0047,YES
40640878,12/13/2021,POL 0042-43703,0042-43703,34CMPB,PART DAMAGE / COSMETIC ISSUE,P470448,YES
40640257,12/11/2021,P/N 0020-40355,0020-40355,33FEPINB,PART - MISSING/WRONG PART OR QTY,,YES
40640134,12/11/2021,Top Cover Catalyst (POL),0022-83694,34CMPB,PART DAMAGE / COSMETIC ISSUE,1121,YES
40640046,12/10/2021,CP-B02079-1 P.NO-0030-00603,0030-00603,36MDPCP,PART DAMAGE / COSMETIC ISSUE,3000472421,YES
40640035,12/10/2021,Part Broken,0042-35031,34CMPKB,PART DAMAGE / COSMETIC ISSUE,,YES
40639813,12/10/2021,Upper hinged door,0010-65654,52CMPPPT,PART - MISSING/WRONG PART OR QTY,,YES
40639543,12/10/2021,Splash cover found with no screw stud,0021-26962,52CMPPSB,PART - MISSING/WRONG PART OR QTY,,YES
40639412,12/9/2021,wrong adaptors on PC module,0010-86295,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40639292,12/9/2021,E-chuck doesn't hold vacuum,0010-97558,36NPIT,FUNCTIONAL FAILURE,,YES
40639269,12/10/2021,Material was lost on Manufacturing floor,0041-13554,34CMPKB,PART - MISSING/WRONG PART OR QTY,,YES
40639248,12/9/2021,Missing,0042-19117,45NSSCKI,PART - MISSING/WRONG PART OR QTY,,YES
40638890,12/9/2021,Incorrect Adapter Installed,0010-86295,34CMPB,FUNCTIONAL FAILURE,,YES
40638888,12/9/2021,QN Voided - duplicate,0010-86295,34CMPB,OTHER,,YES
40638874,12/9/2021,wrong material recieved-mispick,0021-84181,34CMPKB,PART - MISSING/WRONG PART OR QTY,,YES
40638861,12/9/2021,CLNR|0010-29244x1|broken part,0010-84707,34CMPB,PART DAMAGE / COSMETIC ISSUE,3621-SN01091,YES
40638380,12/8/2021,incorrect assembly,0010-84707,34CMPB,ASSEMBLED INCORRECTLY / WORKMANSHIP,4521-SN01168,YES
40637945,12/7/2021,Due To Design Issue Weldment Broke,0042-39930,52CMPMPB,FIT ISSUE,,YES
40637621,12/7/2021,0022-31316,0022-31316,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40637404,12/7/2021,lid delaminated /separated lid,0010-84707,34CMPB,PART DAMAGE / COSMETIC ISSUE,3621-SN01096,YES
40637300,12/6/2021,lost part,0030-00374,36MDPCHB,PART - MISSING/WRONG PART OR QTY,,YES
40637233,12/6/2021,Incorrect Adapter Installed,0010-86295,34CMPB,ASSEMBLED INCORRECTLY / WORKMANSHIP,3221301514SN0023,YES
40637188,12/6/2021,Logical scan 4 physically received 2,0010-60438,52CMPPPT,PART - MISSING/WRONG PART OR QTY,,YES
40637024,12/6/2021,Missing helicoid,3970-00082,34CMPKB,FIT ISSUE,,YES
40636845,12/6/2021,Damaged shield,0030-00596,36MDPCHT,FIT ISSUE,,YES
40636693,12/6/2021,Scratches Found,0240-47291,52CMPPSB,PART DAMAGE / COSMETIC ISSUE,NA.,YES
40636660,12/6/2021,LOG (B52 INB) BARE PART DAMAGE,0041-91430,B52LOG,PART DAMAGE / COSMETIC ISSUE,,YES
40636536,12/5/2021,During detrash found out scratches,0042-35322,52CMPMPB,PART DAMAGE / COSMETIC ISSUE,NA.,YES
40636439,12/5/2021,Logistics Identified Damaged Part,0030-01100,45NSSCKI,PART DAMAGE / COSMETIC ISSUE,,YES
40636310,12/4/2021,CLNR 0041-58904 cracked,0041-58904,34CMPFT,PART DAMAGE / COSMETIC ISSUE,3421,YES
40636130,12/4/2021,Broken lock,0010-66751,34CMPB,PART DAMAGE / COSMETIC ISSUE,,YES
40636104,12/4/2021,0022-95536 broken,0022-95536,36NPIB,PART DAMAGE / COSMETIC ISSUE,,YES
40635758,12/3/2021,Missing,0042-04287,45NSSCKI,PART - MISSING/WRONG PART OR QTY,,YES
40635543,12/3/2021,short,0022-20634,36ETCCHB,PART - MISSING/WRONG PART OR QTY,,YES
40635377,12/2/2021,0020-40338 missing,0020-40338,33FEPINB,PART - MISSING/WRONG PART OR QTY,,YES
40635116,12/2/2021,A01273/1780217/0022-83732 X1,0022-83732,33FEPINB,PART DAMAGE / COSMETIC ISSUE,,YES
40634555,12/1/2021,Logistics Identified Missing Part,0022-81392,B30LOG,PART - MISSING/WRONG PART OR QTY,,YES
